,secao,subclasse,saldomov,cbo2002,categoria,grau,idade,horascontratuais,racacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentacao,tipodedeficiencia,indtrabintermitente,indtrabparcial,salario,tamestabjan,indicadoraprendiz,origemdainformação,indicadordeforadoprazo,unidadesalariocodigo,valorsalariofixo,nome_ocu
2351401,J,6201501,1,212415,101,9,35.0,"40,00",1,1,0,1,97,0,0,0,"5000,00",5,0,1,0,5,"5000,00",Analista de Sistemas de Automacao
2351413,J,6204000,1,212415,101,9,34.0,"40,00",4,1,0,1,97,0,0,0,"8600,00",10,0,1,0,5,"8600,00",Analista de Sistemas de Automacao
2351418,J,6201501,-1,212415,101,8,40.0,"40,00",3,1,0,1,40,0,0,0,"5153,59",7,0,1,0,5,"5153,59",Analista de Sistemas de Automacao
2351427,G,4642701,1,212415,101,7,23.0,"44,00",6,3,0,1,97,0,0,0,"3000,00",3,0,1,0,5,"3000,00",Analista de Sistemas de Automacao
2351448,J,6201501,1,212415,101,9,31.0,"40,00",1,1,0,1,97,0,0,0,"7500,00",9,0,1,0,5,"7500,00",Analista de Sistemas de Automacao
2351452,M,7020400,1,212415,101,9,22.0,"44,00",1,3,0,1,97,0,0,0,"4850,00",2,0,1,0,5,"4850,00",Analista de Sistemas de Automacao
2351461,M,7490104,-1,212415,101,8,36.0,"44,00",1,1,0,1,40,0,0,0,"9000,00",9,0,1,0,5,"9000,00",Analista de Sistemas de Automacao
2351465,S,9511800,1,212415,101,9,40.0,"44,00",1,3,0,1,97,0,0,0,"2750,00",2,0,1,0,5,"2750,00",Analista de Sistemas de Automacao
2351476,J,6201501,-1,212415,101,8,33.0,"40,00",3,3,0,1,40,0,0,0,"5000,00",7,0,1,0,5,"5000,00",Analista de Sistemas de Automacao
2351478,J,6201501,-1,212415,101,9,23.0,"40,00",1,1,0,1,40,0,0,0,"6500,00",5,0,1,0,5,"6500,00",Analista de Sistemas de Automacao
2351486,J,6201501,1,212415,101,9,25.0,"40,00",1,1,0,1,97,0,0,0,"3830,00",9,0,1,0,5,"3830,00",Analista de Sistemas de Automacao
2351489,J,6201501,-1,212415,101,9,22.0,"40,00",3,1,0,1,31,0,0,0,"2233,16",7,0,1,0,5,"2233,16",Analista de Sistemas de Automacao
2351504,M,7020400,-1,212415,101,9,35.0,"40,00",1,1,0,1,40,0,0,0,"7052,50",10,0,1,0,5,"7052,50",Analista de Sistemas de Automacao
2351505,J,6201501,-1,212415,101,9,28.0,"40,00",1,1,0,1,31,0,0,0,"2154,14",8,0,1,0,5,"2154,14",Analista de Sistemas de Automacao
2351507,N,8211300,-1,212415,101,9,40.0,"44,00",6,1,0,1,43,0,0,0,"5000,00",6,0,1,0,5,"5000,00",Analista de Sistemas de Automacao
2351511,M,7112000,-1,212415,101,9,30.0,"44,00",6,1,0,1,40,0,0,0,"6000,00",5,0,1,0,5,"6000,00",Analista de Sistemas de Automacao
2351516,J,6202300,-1,212415,101,9,22.0,"22,00",6,1,0,1,40,0,0,0,"4086,06",3,0,1,0,5,"4086,06",Analista de Sistemas de Automacao
2351517,J,6209100,-1,212415,101,80,65.0,"40,00",1,1,0,1,40,0,0,0,"8000,00",9,0,1,0,5,"8000,00",Analista de Sistemas de Automacao
2351519,N,8291100,-1,212415,101,9,38.0,"40,00",1,1,0,1,40,0,0,0,"22239,41",7,0,1,0,5,"22239,41",Analista de Sistemas de Automacao
2351537,J,6201501,1,212415,101,9,22.0,"40,00",3,1,0,1,97,0,0,0,"4681,24",7,0,1,0,5,"4681,24",Analista de Sistemas de Automacao
2351538,J,6202300,-1,212415,101,9,31.0,"40,00",6,1,0,1,40,0,0,0,"3559,15",7,0,1,0,5,"3559,15",Analista de Sistemas de Automacao
2351541,N,8211300,1,212415,101,80,32.0,"42,00",1,1,0,1,97,0,0,0,"8000,00",9,0,1,0,5,"8000,00",Analista de Sistemas de Automacao
2351544,J,6201501,-1,212415,101,9,24.0,"44,00",1,3,0,1,31,0,0,0,"1675,00",5,0,1,0,5,"1675,00",Analista de Sistemas de Automacao
2351547,P,8599604,1,212415,101,8,25.0,"40,00",6,1,0,1,97,0,0,0,"1800,00",1,0,1,0,5,"1800,00",Analista de Sistemas de Automacao
2351548,J,6201501,-1,212415,101,9,31.0,"40,00",3,1,0,1,31,0,0,0,"3500,00",7,0,1,0,5,"3500,00",Analista de Sistemas de Automacao
2351551,J,6201501,-1,212415,101,9,34.0,"42,00",6,1,0,1,40,0,0,0,"5300,00",9,0,1,0,5,"5300,00",Analista de Sistemas de Automacao
2351554,C,2121101,1,212415,101,9,45.0,"40,00",1,1,0,1,97,0,0,0,"6814,00",7,0,1,0,5,"6814,00",Analista de Sistemas de Automacao
2351556,J,6201501,1,212415,101,8,23.0,"40,00",1,1,0,1,97,0,0,0,"3200,00",9,0,1,0,5,"3200,00",Analista de Sistemas de Automacao
2351558,J,6203100,1,212415,101,9,26.0,"40,00",3,1,0,1,97,0,0,0,"6000,00",4,0,1,0,5,"6000,00",Analista de Sistemas de Automacao
2351560,J,6201501,-1,212415,101,9,39.0,"40,00",1,1,0,1,40,0,0,0,"2563,50",7,0,1,0,5,"2563,50",Analista de Sistemas de Automacao
2351563,J,6203100,1,212415,101,7,34.0,"40,00",3,1,0,1,97,0,0,0,"3173,00",4,0,1,0,5,"3173,00",Analista de Sistemas de Automacao
2351573,H,4930202,-1,212415,101,8,22.0,"44,00",2,1,0,1,40,0,0,0,"1470,00",8,0,1,0,5,"1470,00",Analista de Sistemas de Automacao
