,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
0,902440,202208,3,35,355030,K,6542100,-1,212405,101,5,38.0,40.0,3,1,0,1,40,0,0,0,13000.0,9,0,1,202208,0,5,13000.0,Analista de Desenvolvimento de Sistemas
1,902441,202208,3,35,355030,N,8220200,-1,212405,101,4,34.0,40.0,1,1,0,1,40,0,0,0,11793.0,9,0,1,202208,0,5,11793.0,Analista de Desenvolvimento de Sistemas
2,902444,202208,3,35,355030,J,6201501,1,212405,101,5,26.0,44.0,1,3,0,1,97,0,0,9,11175.0,9,0,1,202208,0,5,11175.0,Analista de Desenvolvimento de Sistemas
3,902445,202208,3,35,355030,J,6204000,1,212405,101,4,31.0,40.0,1,1,0,1,97,0,0,0,14000.0,5,0,1,202208,0,5,14000.0,Analista de Desenvolvimento de Sistemas
4,902447,202208,3,35,355030,J,6202300,-1,212405,101,5,25.0,44.0,1,1,0,1,90,0,0,9,4794.0,7,0,1,202208,0,5,4794.0,Analista de Desenvolvimento de Sistemas
5,902449,202208,3,35,355030,J,6209100,1,212405,101,4,24.0,44.0,1,1,0,1,97,0,0,0,5545.35,10,0,1,202208,0,5,5545.35,Analista de Desenvolvimento de Sistemas
6,902450,202208,3,35,355030,M,7490104,1,212405,101,4,26.0,44.0,2,3,0,1,97,0,0,0,5927.97,10,0,1,202208,0,5,5927.97,Analista de Desenvolvimento de Sistemas
7,902452,202208,3,35,355030,G,4663000,1,212405,101,5,23.0,44.0,1,1,0,1,97,0,0,0,6000.0,9,0,1,202208,0,5,6000.0,Analista de Desenvolvimento de Sistemas
8,902454,202208,3,35,355030,J,6204000,1,212405,101,5,38.0,40.0,3,1,0,1,97,0,0,0,25000.0,9,0,1,202208,0,5,25000.0,Analista de Desenvolvimento de Sistemas
9,902457,202208,3,35,355030,J,6201501,-1,212405,101,5,30.0,40.0,6,1,0,1,40,0,0,0,5893.04,9,0,1,202208,0,5,5893.04,Analista de Desenvolvimento de Sistemas
10,902459,202208,3,35,355030,J,6204000,1,212405,101,4,25.0,40.0,3,3,0,1,97,0,0,0,5500.0,7,0,1,202208,0,5,5500.0,Analista de Desenvolvimento de Sistemas
11,902460,202208,3,35,355030,C,1813099,1,212405,101,5,24.0,44.0,1,1,0,1,97,0,0,0,2000.0,4,0,1,202208,0,5,2000.0,Analista de Desenvolvimento de Sistemas
12,902461,202208,3,35,355030,K,6436100,-1,212405,101,4,21.0,44.0,3,1,0,1,31,0,0,9,6252.9,9,0,1,202208,0,5,6252.9,Analista de Desenvolvimento de Sistemas
13,902462,202208,3,35,355030,K,6422100,1,212405,101,4,22.0,44.0,1,3,0,1,97,0,0,0,4505.0,10,0,1,202208,0,5,4505.0,Analista de Desenvolvimento de Sistemas
14,902467,202208,3,35,355030,N,7740300,1,212405,101,5,33.0,42.5,1,1,0,1,97,3,0,0,11000.0,9,0,1,202208,0,5,11000.0,Analista de Desenvolvimento de Sistemas
15,902468,202208,3,35,355030,N,8291100,-1,212405,101,5,37.0,40.0,6,1,0,1,40,0,0,0,16239.73,7,0,1,202208,0,5,16239.73,Analista de Desenvolvimento de Sistemas
16,902471,202208,3,35,355030,J,6204000,-1,212405,101,5,28.0,40.0,6,1,0,1,40,0,0,0,15300.0,7,0,1,202208,0,5,15300.0,Analista de Desenvolvimento de Sistemas
17,902474,202208,3,35,355030,J,6203100,-1,212405,101,5,27.0,44.0,1,1,0,1,31,0,0,0,10062.6,8,0,1,202208,0,5,10062.6,Analista de Desenvolvimento de Sistemas
18,902478,202208,3,35,355030,J,6201501,1,212405,101,5,37.0,40.0,6,1,0,1,97,0,0,0,10000.0,5,0,1,202208,0,5,10000.0,Analista de Desenvolvimento de Sistemas
19,902485,202208,3,35,355030,G,4651601,-1,212405,101,2,21.0,44.0,3,3,0,1,40,0,0,0,1661.0,6,0,1,202208,0,5,1661.0,Analista de Desenvolvimento de Sistemas
20,902487,202208,3,35,355030,J,6201501,1,212405,101,5,30.0,40.0,1,1,0,1,97,0,0,0,7573.23,10,0,1,202208,0,5,7573.23,Analista de Desenvolvimento de Sistemas
21,902488,202208,3,35,355030,J,6209100,-1,212405,101,5,35.0,40.0,3,3,0,1,40,0,0,0,2919.24,6,0,1,202208,0,5,2919.24,Analista de Desenvolvimento de Sistemas
22,902491,202208,3,35,355030,K,6611803,1,212405,101,5,30.0,40.0,1,1,0,1,97,0,0,0,11500.0,10,0,1,202208,0,5,11500.0,Analista de Desenvolvimento de Sistemas
23,902492,202208,3,35,355030,J,6209100,-1,212405,101,5,24.0,40.0,1,1,0,1,40,0,0,0,8700.0,7,0,1,202208,0,5,8700.0,Analista de Desenvolvimento de Sistemas
24,902494,202208,3,35,355030,J,6202300,-1,212405,101,4,34.0,40.0,4,1,0,1,31,0,0,0,8262.0,5,0,1,202208,0,5,8262.0,Analista de Desenvolvimento de Sistemas
25,902495,202208,3,35,355030,J,6201501,-1,212405,101,5,24.0,44.0,1,1,0,1,31,0,0,0,2393.6,6,0,1,202208,0,5,2393.6,Analista de Desenvolvimento de Sistemas
26,902504,202208,3,35,355030,K,6619305,1,212405,101,5,20.0,44.0,1,1,0,1,97,0,0,0,6223.0,9,0,1,202208,0,5,6223.0,Analista de Desenvolvimento de Sistemas
27,902514,202208,3,35,355030,M,7020400,1,212405,101,4,24.0,44.0,1,3,0,1,97,0,0,0,2748.45,10,0,1,202208,0,5,2748.45,Analista de Desenvolvimento de Sistemas
28,902516,202208,3,35,355030,J,6311900,-1,212405,101,5,29.0,40.0,3,3,0,1,40,0,0,0,7500.0,10,0,1,202208,0,5,7500.0,Analista de Desenvolvimento de Sistemas
29,902519,202208,3,35,355030,K,6611803,-1,212405,101,5,26.0,40.0,1,1,0,1,40,0,0,0,13189.0,10,0,1,202208,0,5,13189.0,Analista de Desenvolvimento de Sistemas
30,902525,202208,3,35,355030,K,6512000,1,212405,101,5,22.0,40.0,1,1,0,1,97,0,0,0,13300.0,10,0,1,202208,0,5,13300.0,Analista de Desenvolvimento de Sistemas
31,902526,202208,3,35,355030,S,9511800,-1,212405,101,8,39.0,44.0,1,1,0,1,40,0,0,0,3543.68,7,0,1,202208,0,5,3543.68,Analista de Desenvolvimento de Sistemas
32,902527,202208,3,35,355030,J,6201501,1,212405,101,5,36.0,40.0,1,1,0,1,97,0,0,0,4500.0,10,0,1,202208,0,5,4500.0,Analista de Desenvolvimento de Sistemas
33,902529,202208,3,35,355030,J,6202300,1,212405,101,4,26.0,40.0,2,1,0,1,97,0,0,0,2400.0,4,0,1,202208,0,5,2400.0,Analista de Desenvolvimento de Sistemas
34,902531,202208,3,35,355030,N,8219999,1,212405,101,5,29.0,44.0,6,1,0,1,97,0,0,0,6500.0,7,0,1,202208,0,5,6500.0,Analista de Desenvolvimento de Sistemas
35,902532,202208,3,35,355030,N,7820500,-1,212405,106,5,38.0,40.0,3,1,0,1,43,0,0,0,2200.0,10,0,1,202208,0,5,2200.0,Analista de Desenvolvimento de Sistemas
36,902534,202208,3,35,355030,K,6422100,1,212405,101,5,22.0,44.0,6,1,0,1,97,0,0,0,3870.97,7,0,1,202208,0,5,3870.97,Analista de Desenvolvimento de Sistemas
